p	item	meso	stat	2st	3rd	sell_complete
450000000	0	20	1	12	9	0
250000000	0	20	0	0	0	0
254333333	0	20	0	0	0	0
349990000	0	20	4	12	9	0
244444444	0	20	0	0	0	0
270000000	0	20	4	9	9	0
399999999	0	20	5	6	6	0
250000000	0	20	0	0	0	0
240000000	0	20	0	0	0	0
250000000	0	20	4	12	6	0
255555555	0	20	4	9	9	0
266666666	0	20	1	9	6	0
211111111	0	20	4	12	6	0
234343434	0	20	0	0	0	0
234000000	0	20	0	0	0	0
350000000	0	20	1	12	9	0
255555555	0	20	1	6	9	0
239999999	0	20	3	9	9	0
220000000	0	20	0	0	0	0
229999999	0	20	4	9	6	0
215555555	0	20	0	0	0	0
220000000	0	20	0	0	0	0
222222222	0	20	1	9	6	0
160000000	0	20	3	9	9	0
244444444	0	20	1	9	6	0
219999999	0	20	0	0	0	0
211111111	0	20	6	9	9	0
199999999	0	20	0	0	0	0
239999999	0	20	4	9	9	0
250000000	0	20	0	0	0	0
233333333	0	20	0	0	0	0
200000000	0	20	0	0	0	0
222222222	0	20	0	0	0	0
233333000	0	20	3	12	9	0
250000000	0	20	0	0	0	0
300000000	0	20	4	12	9	0
349990000	0	20	3	12	9	0
255555555	0	20	0	0	0	0
250000000	0	20	3	12	9	0
233333333	0	20	0	0	0	0
199999999	0	20	0	0	0	0
179999999	0	20	0	0	0	0
255555555	0	20	1	9	9	0
244444444	0	20	0	0	0	0
233333333	0	20	0	0	0	0
188888888	0	20	0	0	0	0
230000000	0	20	2	9	9	0
179999999	0	20	0	0	0	0
222222222	0	20	0	0	0	0
239999999	0	20	2	9	9	0
199999999	0	20	0	0	0	0
244444444	0	20	4	9	9	0
249999999	0	20	2	9	9	0
133333333	0	20	2	9	9	0
244444444	0	20	1	9	6	0
100000000	0	20	2	9	9	0
300000000	0	20	3	9	9	0
188888888	0	20	0	0	0	0
230000000	0	20	2	12	6	0
266666666	0	20	4	9	9	0
277777777	0	20	4	12	9	0
222211111	0	20	2	9	6	0
299999999	0	20	1	9	9	0
299999998	0	20	1	9	9	0
240000000	0	20	4	9	9	0
240000000	0	20	0	0	0	0
248888888	0	20	1	9	9	0
220000000	0	20	0	0	0	0
211111111	0	20	0	0	0	0
333333333	0	20	5	9	6	0
188888888	0	20	0	0	0	0
249999999	0	20	3	9	9	0
188888888	0	20	0	0	0	0
219999999	0	20	0	0	0	0
210000000	0	20	0	0	0	0
200000000	0	20	0	0	0	0
210000000	0	20	0	0	0	0
280000000	0	20	1	9	9	0
299999999	0	20	1	9	9	0
199999999	0	20	0	0	0	0
199999999	0	20	0	0	0	0
199999999	0	20	0	0	0	0
250000000	0	20	5	9	6	0
198888888	0	20	0	0	0	0
298999999	0	20	4	9	9	0
